AS;Interatomic Distance (pm);CS;MI;nd;cn sur;Ed (eV);Edw (eV);Eu (eV);SE (J/m2);WF (eV);cn ADS;E;site
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;1;238;ads top
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;2;391;ads b
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;4;447;ads h
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;6;329;abs top
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;4;413;abs b
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;1;246;ads top
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;2;395;ads bS
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;4;401;ads h
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;6;314;abs top
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;4;420;abs bS
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;4;417;abs bL
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;1;211;ads top
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;3;414;ads h fcc
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;3;403;ads h bcc
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;4;310;abs top
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;6;350;abs h fcc
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;4;389;abs h hcp
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;1;176;ads top
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;2;250;ads b
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;4;398;ads h
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;6;310;abs top
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;4;311;abs b
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;1;170;ads top
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;2;364;ads bL
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;4;364;ads h
